extension,since,path,category
TypeSynonymInstances,6.8.1,exts/instances.rst,Class and instances declarations
UnboxedSums,8.2.1,exts/primitives.rst,Unboxed types and primitive operations
UnboxedTuples,6.8.1,exts/primitives.rst,Unboxed types and primitive operations
UndecidableInstances,?,exts/type_families.rst,Types
UndecidableSuperClasses,8.0.1,exts/undecidable_super_classes.rst,Class and instances declarations
UnicodeSyntax,6.8.1,exts/unicode_syntax.rst,Syntax
UnliftedFFITypes,6.8.1,exts/ffi.rst,Foreign function interface (FFI)
UnliftedNewtypes,8.10.1,exts/primitives.rst,Unboxed types and primitive operations
Unsafe,7.4.1,exts/safe_haskell.rst,Safe Haskell
ViewPatterns,6.10.1,exts/view_patterns.rst,Patterns
